id,code,origin,destination,depart_time,arrive_time,price,seats_total,seats_left,duration
1,CA1001,Tianjin,Shanghai,2025-12-05 08:00,2025-12-05 10:30,450,200,150,150
2,GS7889,Tianjin,Shenzhen,2025-12-05 14:30,2025-12-05 17:50,680,180,120,200
3,CZ3102,Tianjin,Guangzhou,2025-12-06 07:30,2025-12-06 11:00,720,200,130,210
4,TV9805,Tianjin,Chengdu,2025-12-06 12:00,2025-12-06 15:40,890,190,110,220
5,MU2345,Tianjin,Xi'an,2025-12-07 18:00,2025-12-07 20:10,350,220,180,130
6,CA1503,Shanghai,Beijing,2025-12-05 07:00,2025-12-05 09:20,480,220,160,140
7,MU5301,Shanghai,Guangzhou,2025-12-06 15:00,2025-12-06 17:30,750,210,140,150
8,KA803,Shanghai,Hong Kong,2025-12-08 16:00,2025-12-08 18:30,1800,160,80,150
9,JL872,Shanghai,Tokyo,2025-12-12 14:30,2025-12-12 18:30,2800,150,55,180
10,CA1504,Beijing,Shanghai,2025-12-05 06:30,2025-12-05 09:00,550,230,170,150
11,HU7181,Beijing,Haikou,2025-12-06 15:30,2025-12-06 19:10,1250,200,120,220
12,CA939,Beijing,London,2025-12-08 13:00,2025-12-08 17:00,4800,120,40,540
13,CA981,Beijing,New York,2025-12-09 14:00,2025-12-09 16:30,4200,110,50,810
14,CZ3201,Guangzhou,Shanghai,2025-12-05 09:00,2025-12-05 11:30,420,220,180,150
15,CZ3101,Guangzhou,Beijing,2025-12-05 13:00,2025-12-05 16:00,850,210,160,180
16,3U8718,Guangzhou,Chengdu,2025-12-08 11:00,2025-12-08 13:40,900,190,130,160
17,TG669,Guangzhou,Bangkok,2025-12-10 17:00,2025-12-10 19:00,3100,150,65,180
18,ZH9876,Shenzhen,Dalian,2025-12-05 10:30,2025-12-05 13:30,620,200,145,180
19,CZ6200,Shenzhen,Harbin,2025-12-06 13:00,2025-12-06 17:40,1150,180,105,280
20,OZ374,Shenzhen,Seoul,2025-12-07 09:45,2025-12-07 13:50,1900,160,85,185
21,5J525,Shenzhen,Manila,2025-12-08 18:00,2025-12-08 20:30,1550,150,95,150
22,TV9888,Chengdu,Lhasa,2025-12-05 06:00,2025-12-05 08:30,850,180,115,150
23,MF8402,Chengdu,Xiamen,2025-12-06 15:30,2025-12-06 18:20,790,180,125,170
24,CA429,Chengdu,Sydney,2025-12-07 22:30,2025-12-08 11:30,3800,130,60,660
25,3U8719,Chengdu,Kathmandu,2025-12-08 14:00,2025-12-08 15:30,1750,140,75,230
26,GJ8080,Hangzhou,Chongqing,2025-12-05 11:00,2025-12-05 13:30,510,210,165,150
27,JD5701,Hangzhou,Sanya,2025-12-06 17:45,2025-12-06 21:00,1300,160,90,195
28,TR189,Hangzhou,Singapore,2025-12-07 01:00,2025-12-07 06:00,2500,160,88,300
29,MU2488,Wuhan,Kunming,2025-12-05 09:30,2025-12-05 12:30,690,200,135,180
30,CI542,Wuhan,Taipei,2025-12-06 14:00,2025-12-06 16:30,1450,160,108,150
31,CZ6001,Wuhan,Paris,2025-12-07 10:00,2025-12-07 16:30,4100,120,42,630
32,PN6022,Chongqing,Nanjing,2025-12-05 16:00,2025-12-05 18:40,480,210,155,160
33,3U8003,Chongqing,Phuket,2025-12-06 21:00,2025-12-07 00:30,2100,140,78,210
34,AY106,Chongqing,Helsinki,2025-12-07 09:30,2025-12-07 14:00,3600,130,58,570
35,MU2801,Nanjing,Xining,2025-12-05 12:30,2025-12-05 15:50,950,180,122,200
36,NX007,Nanjing,Macau,2025-12-06 19:40,2025-12-06 22:20,1700,160,98,160
37,MU583,Nanjing,Los Angeles,2025-12-07 18:30,2025-12-07 15:30,4500,110,48,660
38,MU2211,Xi'an,Lanzhou,2025-12-05 08:30,2025-12-05 10:00,380,220,195,90
39,LJ097,Xi'an,Jeju,2025-12-06 13:30,2025-12-06 17:00,1650,150,82,150
40,HU7991,Xi'an,Rome,2025-12-07 00:30,2025-12-07 05:30,3950,120,52,660
41,CZ6405,Dalian,Zhengzhou,2025-12-05 10:00,2025-12-05 12:30,590,200,138,150
42,JL828,Dalian,Fukuoka,2025-12-06 16:45,2025-12-06 19:40,2200,130,72,115
43,CA905,Dalian,Vancouver,2025-12-07 12:00,2025-12-07 07:30,4000,110,47,570
44,SC4701,Qingdao,Changsha,2025-12-05 07:30,2025-12-05 10:00,660,220,175,150
45,LH786,Qingdao,Munich,2025-12-06 14:30,2025-12-06 19:00,3700,120,51,630
46,MU735,Qingdao,Melbourne,2025-12-07 20:00,2025-12-08 09:30,3200,130,62,630
47,MF8501,Xiamen,Shanghai,2025-12-05 11:30,2025-12-05 13:20,490,210,168,110
48,MF847,Xiamen,Kuala Lumpur,2025-12-06 18:00,2025-12-06 22:00,2050,150,77,240
49,KL882,Xiamen,Amsterdam,2025-12-07 23:00,2025-12-08 05:00,4300,110,49,720
50,MU5903,Kunming,Lijiang,2025-12-05 14:00,2025-12-05 14:50,350,220,199,50
51,MU569,Kunming,New Delhi,2025-12-06 17:30,2025-12-06 20:30,1880,160,87,180
52,QR805,Kunming,Doha,2025-12-07 19:00,2025-12-07 23:00,3400,150,66,480
